DateTime,AddedIPs,RemovedIPs
1557762722,25,0
1557763322,1,0
1557764522,2,8
1557765722,2,3
1557766923,2,1
1557768123,1,0
1557769323,1,2
1557770523,0,2
1557771722,1,5
1557772922,10,0
1557774123,4,3
1557774723,4,0
1557775322,2,0
1557776523,0,12
1557777722,2,0
1557778323,2,0
1557778922,1,0
1557781323,0,12
1557782523,12,3
1557783724,6,12
1557784322,7,0
1557784922,6,6
1557785522,1,0
1557786122,1,0
1557786722,3,7
1557787323,3,3
1557788523,5,0
1557789722,2,4
1557790922,2,0
1557792124,2,1
1557793322,3,0
1557794523,6,0
1557795722,2,1
1557796923,1,0
1557799922,3,0
1557801723,3,3
1557802324,16,0
1557802922,2,0
1557805322,1,0
1557805922,1,0
1557807122,0,2
1557807722,0,1
1557808923,1,1
1557810122,4,2
1557811322,1,0
1557812522,5,1
1557813723,1,1
1557814922,3,5
1557816122,1,4
1557817323,5,18
1557817922,1,0
1557819723,0,10
1557820923,0,13
1557822123,7,0
1557823323,2,2
1557823922,3,0
1557824523,2,2
1557825722,3,0
1557826922,1,3
1557828123,0,3
1557829322,2,2
1557829922,0,5
1557830522,0,4
1557831722,1,0
1557832922,2,6
1557834123,1,0
1557836522,0,3
1557837723,1,0
1557838923,1,6
1557840122,3,19
1557841322,1,5
1557842522,3,0
1557846123,3,0
1557847323,6,7
1557848523,1,5
1557849123,8,0
1557850322,0,3
1557850923,4,2
1557851522,3,0
1557852122,1,1
1557852722,1,0
1557854523,3,8
1557855723,5,7
1557856922,3,0
1557858122,0,2
1557859323,7,0
1557860523,7,22
1557861122,2,0
1557861722,2,3
1557862922,6,2
1557864122,2,3
1557865323,1,0
1557866522,3,0
1557867722,0,1
1557868923,9,0
1557870122,2,0
1557871322,8,16
1557872522,0,2
1557873123,4,0
1557873722,1,11
1557876122,2,4
1557877322,1,0
1557878524,24,2
1557879723,4,0
1557880922,46,12
1557882123,15,0
1557883322,6,3
1557886922,2,1
1557887523,6,0
1557888122,2,0
1557889322,2,1
1557889925,1,6
1557890522,2,4
1557891122,2,3
1557891722,0,3
1557892922,0,1
1557895323,3,2
1557895923,4,0
1557896522,1,0
1557897723,1,0
1557898323,27,2
1557898922,1,0
1557899522,1,7
1557900122,4,0
1557900723,1,10
1557901323,1,0
1557901923,1,0
1557903723,3,0
1557904922,10,0
1557906123,2,0
1557907322,2,17
1557908523,11,0
1557909723,4,2
1557910322,2,0
1557910923,1,1
1557912123,4,1
1557914523,2,9
1557915722,1,4
1557916923,3,1
1557918123,0,4
1557919322,0,2
1557920523,1,0
1557921722,1,1
1557924123,1,4
1557925322,4,0
1557925923,1,0
1557926522,0,2
1557927722,5,2
1557928923,3,0
1557930123,2,0
1557930723,0,7
1557931322,1,7
1557933123,2,0
1557933722,2,0
1557934323,2,0
1557934923,1,0
1557936123,32,4
1557937322,4,4
1557938523,4,1
1557939723,2,0
1557940923,3,1
1557941522,1,0
1557942123,1,0
1557943323,0,2
1557945123,1,4
1557945722,1,9
1557946922,1,0
1557948122,4,4
1557949322,23,0
1557950523,5,1
1557951723,2,0
1557954123,1,0
1557955323,3,16
1557956522,15,2
1557957722,1,6
1557958322,1,3
1557959523,1,1
1557962522,1,9
1557963723,1,1
1557964925,3,0
1557966123,6,6
1557967322,3,5
1557968523,1,6
1557969723,1,3
1557970922,1,0
1557972123,0,5
1557973323,1,0
1557974522,23,1
1557975122,1,13
1557976922,3,7
1557977522,2,0
1557978123,1,1
1557979323,0,3
1557979922,2,0
1557981723,5,3
1557982924,4,0
1557983524,1,2
1557984123,5,0
1557985323,0,7
1557986522,4,24
1557987722,0,4
1557988922,6,0
1557990123,5,2
1557990722,3,1
1557991322,0,2
1557992522,2,5
1557993123,0,2
1557993723,37,0
1557994923,4,5
1557996123,2,1
1557997323,4,0
1557997924,1,1
1557998523,0,2
1558004523,2,0
1558005723,1,0
1558008123,0,3
1558009322,0,9
1558010523,2,0
1558011722,2,17
1558012322,2,35
1558012923,0,1
1558014122,2,0
1558014722,4,0
1558016522,1,0
1558018923,5,2
1558019522,1,0
1558020123,1,3
1558020723,3,0
1558021322,2,10
1558023123,0,13
1558023723,4,1
1558024922,1,0
1558027322,4,1
1558027922,3,0
1558028522,1,0
1558029723,0,3
1558030924,2,4
1558032122,17,0
1558033323,4,3
1558034522,9,0
1558035723,5,0
1558038122,0,5
1558040522,1,5
1558041722,34,0
1558042922,12,7
1558044122,7,1
1558044722,0,5
1558047722,0,2
1558048923,2,0
1558050123,3,2
1558051324,5,0
1558051923,8,0
1558052523,1,0
1558053722,1,8
1558054922,0,5
1558056122,0,1
1558058522,1,5
1558059124,2,0
1558060923,21,14
1558062122,2,0
1558062723,11,0
1558063323,3,3
1558065723,0,5
1558066323,1,0
1558066923,1,1
1558067524,1,0
1558068123,1,0
1558069323,0,25
1558069923,1,0
1558070523,3,0
1558071722,0,5
1558072922,2,0
1558074123,4,1
1558075322,5,0
1558075922,2,2
1558076523,3,0
1558077723,2,2
1558080123,9,25
1558080723,4,0
1558081322,2,0
1558082523,2,5
1558083723,2,7
1558084322,1,1
1558084922,1,3
1558086122,4,0
1558086723,1,2
1558087322,1,0
1558087923,2,0
1558088522,1,0
1558090923,0,1
1558093323,1,7
1558094522,2,0
1558095723,1,0
1558098122,1,12
1558099922,1,26
1558100522,1,7
1558101722,0,7
1558102323,2,0
1558104123,0,11
1558105323,2,0
1558106522,7,0
1558107122,2,0
1558107722,2,8
1558108322,17,0
1558108922,0,15
1558110122,13,0
1558111322,3,7
1558111923,1,0
1558112523,2,1
1558113723,3,3
1558114923,3,0
1558116123,7,0
1558117923,0,11
1558118522,14,0
1558119722,1,7
1558120322,1,0
1558120923,1,3
1558122123,5,0
1558123323,5,1
1558124522,0,2
1558126322,1,0
1558128722,10,9
1558129323,4,0
1558130523,5,13
1558131723,1,8
1558132322,1,0
1558135322,3,9
1558137724,12,43
1558141922,2,0
1558143722,8,1
1558145522,2,5
1558146722,0,5
1558149122,0,1
1558151522,1,0
1558152723,2,1
1558155123,1,3
1558156322,0,2
1558158122,6,0
1558159322,4,0
1558160522,3,2
1558161722,1,2
1558163522,2,0
1558164722,6,2
1558165922,0,3
1558167722,2,3
1558168322,2,4
1558170122,2,0
1558172523,3,0
1558173722,2,3
1558174922,0,1
1558177322,1,0
1558180922,1,6
1558183922,1,8
1558184522,1,0
1558185722,2,8
1558186322,1,0
1558186922,5,1
1558188122,4,0
1558191724,3,0
1558192922,6,3
1558194122,1,1
1558195322,10,0
1558196522,2,2
1558197722,7,1
1558198922,5,0
1558200122,2,0
1558201322,1,3
1558202522,1,0
1558203722,0,8
1558204922,18,7
1558205522,0,9
1558206123,1,0
1558207322,1,9
1558208522,12,0
1558209722,2,2
1558210922,0,1
1558213323,1,3
1558213922,21,5
1558215723,2,7
1558216922,1,15
1558217522,3,0
1558218722,1,2
1558219322,0,3
1558221722,0,1
1558222923,0,3
1558224123,10,0
1558225322,13,10
1558226523,3,38
1558227722,1,0
1558228323,0,2
1558228923,0,4
1558230123,1,0
1558231322,1,0
1558232523,3,1
1558233722,14,0
1558234923,4,12
1558236122,1,12
1558237322,2,16
1558237923,2,0
1558238522,2,3
1558239722,2,0
1558240323,1,0
1558240922,1,1
1558242122,1,0
1558243322,10,0
1558243923,1,0
1558244522,4,3
1558245722,4,1
1558246922,4,0
1558248123,2,2
1558248722,1,0
1558250522,0,1
1558252922,10,8
1558253522,3,15
1558254122,0,4
1558254722,2,0
1558255322,1,0
1558256522,4,1
1558257722,1,0
1558258322,4,0
1558258922,1,0
1558259522,1,0
1558260122,1,0
1558261322,4,1
1558261922,0,3
1558262522,1,0
1558263722,3,1
1558264922,1,1
1558266122,1,0
1558267322,0,7
1558269723,4,5
1558270921,3,7
1558272122,2,0
1558273323,3,1
1558274522,1,0
1558275722,2,0
1558276922,1,0
1558278123,4,0
1558278722,0,1
1558279321,4,0
1558280522,1,0
1558281722,13,0
1558282922,0,9
1558284122,5,5
1558284722,1,0
1558285322,1,0
1558285922,2,0
1558286522,3,3
1558287722,2,2
1558288922,1,3
1558290122,2,2
1558291322,8,0
1558292522,2,5
1558293122,3,0
1558293723,1,0
1558294922,5,2
1558296122,3,1
1558297322,0,2
1558299723,0,1
1558300322,32,0
1558300921,1,0
1558302122,1,0
1558302723,2,1
1558303324,2,0
1558304522,0,2
1558306922,0,2
1558308122,1,0
1558309322,1,1
1558310523,4,0
1558311122,3,10
1558311722,2,0
1558312322,2,0
1558312923,2,0
1558314122,8,0
1558317723,3,3
1558318322,1,3
1558318923,3,6
1558320122,3,0
1558321322,6,1
1558321922,2,1
1558323722,2,3
1558326722,1,5
1558327323,1,0
1558328522,1,0
1558329722,1,0
1558330922,12,0
1558332122,2,2
1558333322,1,1
1558334522,1,3
1558335722,1,4
1558336922,2,0
1558338122,1,0
1558338722,1,0
1558339922,24,0
1558341722,1,1
1558342922,1,0
1558343523,1,0
1558344123,3,1
1558345322,7,0
1558346523,1,0
